日期時間,王牌,玩家,喊牌,順序,第1墩,第2墩,第3墩,第4墩,第5墩,第6墩,第7墩,第8墩,第9墩,第10墩,第11墩,第12墩,第13墩
2020-02-11 21:35,6 D,打打|吃屌|🐶🐶|-,1 D - 1 H - 1 SA -  |2 D - 2 S - Pass -  |3 D - 3 H - Pass -  |4 D - 4 S - Pass -,打打|🐶🐶|吃屌|-, 5-♦(D) |  A-♥(H) |  3-♥(H) |  5-♥(H) , A-♦(D) |  3-♦(D) |  3-♣(C) |  2-♦(D) , K-♦(D) |  4-♦(D) |  4-♣(C) |  Q-♦(D) , J-♦(D) |  9-♦(D) |  2-♠(S) |  6-♥(H) , 9-♠(S) |  10-♠(S) |  A-♠(S) |  5-♠(S) , A-♣(C) |  8-♣(C) |  Q-♣(C) |  K-♣(C) , 2-♣(C) |  9-♣(C) |  5-♣(C) |  10-♣(C) , 6-♦(D) |  3-♠(S) |  8-♠(S) |  K-♠(S) , 7-♦(D) |  4-♠(S) |  4-♥(H) |  7-♥(H) , 8-♦(D) |  2-♥(H) |  9-♥(H) |  6-♠(S) , 6-♣(C) |  J-♣(C) |  10-♥(H) |  7-♠(S) , 7-♣(C) |  J-♠(S) |  Q-♠(S) |  8-♥(H) , 10-♦(D) |  J-♥(H) |  K-♥(H) |  Q-♥(H) 
2020-02-11 21:46,2 MD,po|吃屌|笨🦊|-,1 H - 2 MD - Pass -  | -  - Pass -,吃屌|po|-|笨🦊, A-♥(H) |  Q-♥(H) |  5-♥(H) |  3-♥(H) , 6-♣(C) |  7-♣(C) |  K-♣(C) |  8-♣(C) , 6-♥(H) |  4-♥(H) |  J-♥(H) |  9-♥(H) , 2-♦(D) |  A-♦(D) |  9-♦(D) |  K-♦(D) , 5-♣(C) |  A-♣(C) |  2-♣(C) |  Q-♣(C) , 9-♣(C) |  4-♣(C) |  3-♣(C) |  J-♣(C) , 10-♣(C) |  A-♠(S) |  2-♠(S) |  J-♦(D) , 5-♦(D) |  6-♦(D) |  7-♦(D) |  3-♦(D) , K-♥(H) |  10-♠(S) |  8-♦(D) |  10-♦(D) , J-♠(S) |  7-♠(S) |  Q-♦(D) |  4-♦(D) , 8-♠(S) |  7-♥(H) |  Q-♠(S) |  6-♠(S) , 3-♠(S) |  8-♥(H) |  9-♠(S) |  5-♠(S) , 10-♥(H) |  2-♥(H) |  4-♠(S) |  K-♠(S) 
2020-02-11 21:55,4 D,吃屌|笨🦊|po|-,Pass - 1 C - 1 S -  |2 D - 3 C - 3 D -  |Pass - 4 D - Pass -  ,笨🦊|po|吃屌|-, 3-♥(H) |  2-♥(H) |  4-♥(H) |  A-♥(H) , 5-♥(H) |  9-♥(H) |  Q-♥(H) |  K-♥(H) , J-♠(S) |  A-♠(S) |  2-♠(S) |  3-♠(S) , 4-♦(D) |  K-♠(S) |  5-♠(S) |  4-♠(S) , 6-♦(D) |  3-♦(D) |  A-♦(D) |  2-♦(D) , 8-♦(D) |  5-♦(D) |  K-♦(D) |  6-♥(H) , 9-♦(D) |  7-♦(D) |  Q-♦(D) |  6-♠(S) , 10-♥(H) |  10-♦(D) |  J-♥(H) |  7-♥(H) , 5-♣(C) |  Q-♠(S) |  10-♠(S) |  8-♠(S) , 7-♣(C) |  7-♠(S) |  3-♣(C) |  9-♠(S) , A-♣(C) |  6-♣(C) |  J-♦(D) |  8-♥(H) , K-♣(C) |  8-♣(C) |  4-♣(C) |  2-♣(C) , Q-♣(C) |  9-♣(C) |  10-♣(C) |  J-♣(C) 
2020-02-11 22:00,5 S,笨🦊|吃屌|po|-,1 D - 1 S - Pass -  |Pass - 2 H - 2 D -  |Pass - 3 S - 3 D -  |Pass - 4 S - 4 D -,吃屌|笨🦊|-|po, 3-♣(C) |  A-♣(C) |  4-♣(C) |  5-♣(C) , 10-♣(C) |  K-♣(C) |  6-♣(C) |  3-♥(H) , A-♦(D) |  4-♦(D) |  8-♦(D) |  Q-♦(D) , A-♠(S) |  6-♦(D) |  2-♠(S) |  3-♠(S) , A-♥(H) |  5-♥(H) |  2-♥(H) |  8-♥(H) , K-♥(H) |  7-♥(H) |  4-♥(H) |  J-♥(H) , 10-♥(H) |  9-♥(H) |  8-♠(S) |  Q-♥(H) , 10-♠(S) |  2-♣(C) |  Q-♣(C) |  7-♠(S) , 6-♥(H) |  7-♦(D) |  J-♠(S) |  K-♠(S) , 4-♠(S) |  9-♦(D) |  7-♣(C) |  2-♦(D) , Q-♠(S) |  9-♣(C) |  9-♠(S) |  3-♦(D) , 6-♠(S) |  10-♦(D) |  8-♣(C) |  5-♦(D) , 5-♠(S) |  J-♦(D) |  J-♣(C) |  K-♦(D) 
2020-02-11 22:06,4 SA,po|吃屌|笨🦊|-,Pass - 1 MD - 1 SA -  |Pass -  - 4 SA -  ,笨🦊|吃屌|po|-, 3-♣(C) |  6-♣(C) |  Q-♣(C) |  K-♣(C) , A-♠(S) |  K-♠(S) |  6-♠(S) |  J-♠(S) , 2-♠(S) |  9-♠(S) |  4-♠(S) |  10-♠(S) , 3-♠(S) |  8-♠(S) |  Q-♥(H) |  5-♠(S) , A-♣(C) |  J-♣(C) |  9-♣(C) |  10-♣(C) , A-♥(H) |  10-♥(H) |  J-♥(H) |  K-♥(H) , 9-♥(H) |  6-♥(H) |  2-♥(H) |  7-♥(H) , 8-♣(C) |  K-♦(D) |  3-♥(H) |  4-♥(H) , 7-♣(C) |  Q-♦(D) |  5-♥(H) |  J-♦(D) , Q-♠(S) |  10-♦(D) |  8-♥(H) |  5-♣(C) , 6-♦(D) |  8-♦(D) |  A-♦(D) |  7-♦(D) , 3-♦(D) |  5-♦(D) |  9-♦(D) |  2-♦(D) , 2-♣(C) |  7-♠(S) |  4-♦(D) |  4-♣(C) 
2020-02-11 22:16,5 MD,吃屌|wifi|拉不拉都|-,1 H - 2 MD - 1 MD -  |Pass -  - 5 MD -  ,拉不拉都|吃屌|wifi|-, 7-♣(C) |  Q-♣(C) |  K-♣(C) |  5-♣(C) , 8-♥(H) |  K-♥(H) |  2-♥(H) |  A-♥(H) , 2-♠(S) |  A-♠(S) |  7-♠(S) |  Q-♠(S) , 6-♠(S) |  K-♠(S) |  10-♠(S) |  4-♠(S) , 8-♠(S) |  Q-♦(D) |  9-♠(S) |  5-♠(S) , 3-♠(S) |  Q-♥(H) |  A-♦(D) |  K-♦(D) , J-♠(S) |  2-♦(D) |  2-♣(C) |  3-♥(H) , J-♥(H) |  10-♥(H) |  7-♥(H) |  4-♥(H) , A-♣(C) |  10-♣(C) |  6-♥(H) |  5-♥(H) , J-♦(D) |  9-♣(C) |  9-♥(H) |  3-♣(C) , 7-♦(D) |  4-♦(D) |  3-♦(D) |  5-♦(D) , 6-♣(C) |  10-♦(D) |  J-♣(C) |  4-♣(C) , 8-♦(D) |  6-♦(D) |  9-♦(D) |  8-♣(C) 
2020-02-11 22:22,4 NT,吃屌|wifi|拉不拉都|-,1 H - 1 S - 2 MD -  |2 NT - Pass - 3 MD -  |3 NT - Pass - 4 MD -  |Pass - 4 NT - Pass -,wifi|拉不拉都|吃屌|-, 9-♥(H) |  J-♥(H) |  Q-♥(H) |  2-♥(H) , 3-♠(S) |  5-♠(S) |  A-♠(S) |  10-♠(S) , J-♠(S) |  Q-♠(S) |  2-♠(S) |  2-♦(D) , 4-♠(S) |  K-♠(S) |  6-♠(S) |  5-♣(C) , 10-♥(H) |  6-♥(H) |  A-♥(H) |  8-♥(H) , 2-♣(C) |  3-♣(C) |  Q-♣(C) |  K-♣(C) , 4-♦(D) |  5-♦(D) |  8-♦(D) |  A-♦(D) , 4-♣(C) |  10-♣(C) |  A-♣(C) |  7-♣(C) , 10-♦(D) |  6-♦(D) |  K-♦(D) |  3-♦(D) , K-♥(H) |  7-♥(H) |  5-♥(H) |  8-♣(C) , 9-♠(S) |  7-♠(S) |  3-♥(H) |  J-♣(C) , 9-♣(C) |  8-♠(S) |  6-♣(C) |  7-♦(D) , J-♦(D) |  9-♦(D) |  4-♥(H) |  Q-♦(D) 
2020-02-11 22:27,4 D,吃屌|拉不拉都|wifi|-,1 C - Pass - 1 D -  |2 C - 3 MD - 3 D -  |4 MD - Pass - 4 D -  |Pass -,wifi|吃屌|-|拉不拉都, A-♣(C) |  Q-♣(C) |  2-♣(C) |  4-♣(C) , 2-♦(D) |  4-♦(D) |  A-♦(D) |  3-♦(D) , K-♦(D) |  6-♦(D) |  9-♦(D) |  10-♦(D) , 7-♦(D) |  Q-♦(D) |  3-♣(C) |  8-♦(D) , 5-♦(D) |  K-♣(C) |  5-♣(C) |  10-♣(C) , 2-♠(S) |  4-♠(S) |  A-♠(S) |  3-♠(S) , 8-♠(S) |  6-♠(S) |  K-♠(S) |  7-♠(S) , 9-♠(S) |  7-♣(C) |  Q-♠(S) |  J-♠(S) , 2-♥(H) |  8-♣(C) |  10-♠(S) |  4-♥(H) , 3-♥(H) |  9-♣(C) |  5-♠(S) |  5-♥(H) , 8-♥(H) |  9-♥(H) |  A-♥(H) |  6-♥(H) , J-♦(D) |  10-♥(H) |  6-♣(C) |  7-♥(H) , K-♥(H) |  Q-♥(H) |  J-♣(C) |  J-♥(H) 
2020-02-11 22:33,4 SA,吃屌|拉不拉都|wifi|-,1 SA - Pass - Pass -  |2 SA - 2 D - 1 D -  |3 SA - 3 D - Pass -  |4 SA - Pass - Pass -,吃屌|拉不拉都|-|wifi, 8-♦(D) |  Q-♦(D) |  3-♦(D) |  K-♦(D) , 2-♥(H) |  K-♥(H) |  Q-♥(H) |  9-♥(H) , 7-♥(H) |  J-♥(H) |  A-♥(H) |  5-♥(H) , J-♣(C) |  10-♥(H) |  3-♥(H) |  10-♠(S) , 9-♣(C) |  8-♥(H) |  4-♥(H) |  8-♠(S) , 4-♣(C) |  K-♣(C) |  6-♥(H) |  J-♦(D) , 3-♣(C) |  7-♣(C) |  6-♣(C) |  10-♣(C) , A-♣(C) |  10-♦(D) |  Q-♣(C) |  5-♣(C) , 5-♦(D) |  7-♦(D) |  4-♦(D) |  A-♦(D) , 6-♠(S) |  Q-♠(S) |  8-♣(C) |  2-♣(C) , 3-♠(S) |  5-♠(S) |  K-♠(S) |  A-♠(S) , 4-♠(S) |  2-♠(S) |  J-♠(S) |  7-♠(S) , 2-♦(D) |  6-♦(D) |  9-♠(S) |  9-♦(D) 
2020-02-11 22:40,3 D,吃屌|拉不拉都|wifi|-,1 MD - Pass - Pass -  |Pass - 1 C - 2 MD -  |3 MD - 2 D - Pass -  |Pass - 3 C - 3 D -,wifi|吃屌|拉不拉都|-, A-♣(C) |  2-♣(C) |  3-♣(C) |  K-♣(C) , 2-♦(D) |  3-♦(D) |  A-♦(D) |  7-♦(D) , 5-♦(D) |  4-♦(D) |  K-♦(D) |  Q-♦(D) , A-♠(S) |  5-♠(S) |  J-♠(S) |  2-♠(S) , K-♠(S) |  6-♠(S) |  Q-♠(S) |  3-♠(S) , 10-♠(S) |  8-♠(S) |  5-♥(H) |  4-♠(S) , 7-♠(S) |  9-♠(S) |  9-♦(D) |  4-♥(H) , 2-♥(H) |  3-♥(H) |  A-♥(H) |  9-♥(H) , 5-♣(C) |  6-♣(C) |  4-♣(C) |  Q-♣(C) , 6-♥(H) |  7-♥(H) |  10-♦(D) |  K-♥(H) , 6-♦(D) |  8-♦(D) |  7-♣(C) |  9-♣(C) , 10-♥(H) |  Q-♥(H) |  10-♣(C) |  J-♥(H) , J-♦(D) |  8-♥(H) |  J-♣(C) |  8-♣(C) 
